date,open,high,low,close,volume,average,barCount
2025-03-18,62.8,63.15,62.33,62.82,2043244.0,62.712,10784
2025-03-19,63.14,63.36,62.28,62.73,1393559.0,62.671,8388
2025-03-20,62.23,62.92,62.2,62.48,1281076.0,62.554,6766
2025-03-21,61.72,62.6,61.09,62.45,1741408.0,62.157,9011
2025-03-24,63.09,63.98,62.49,63.91,2176126.0,63.656,11214
2025-03-25,64.6,64.71,63.8,64.49,982633.0,64.38,5788
2025-03-26,64.31,65.83,64.27,65.8,1963762.0,65.156,11303
2025-03-27,63.9,63.9,61.64,62.25,5021580.0,62.36,24965
2025-03-28,62.14,62.58,60.2,60.59,3255382.0,60.959,15731
2025-03-31,59.72,60.02,58.86,59.5,2236818.0,59.521,16652
2025-04-01,59.56,60.0,58.18,59.15,2003892.0,59.191,11462
2025-04-02,58.74,61.06,58.27,60.78,1218887.0,60.24,8443
2025-04-03,58.58,59.3,55.2,55.39,2551417.0,55.919,17259
2025-04-04,53.07,53.77,50.1,53.0,3357359.0,52.396,20341
2025-04-07,51.08,55.06,50.56,51.98,2574188.0,52.105,14883
2025-04-08,53.43,53.56,48.34,49.36,2056095.0,50.419,14642
2025-04-09,48.77,54.79,47.78,54.42,5457116.0,52.44,26804
2025-04-10,52.35,52.84,47.89,49.42,3648597.0,49.572,25473
2025-04-11,49.05,49.25,47.19,47.92,2804531.0,47.852,18255
2025-04-14,48.88,50.52,47.8,50.1,3467484.0,49.444,18928
2025-04-15,49.07,50.84,48.89,50.74,1615833.0,50.146,10458
2025-04-16,50.78,53.11,50.21,50.71,1676066.0,51.23,9989
2025-04-17,51.07,52.27,50.78,51.71,1102398.0,51.803,6875
2025-04-21,51.49,51.82,50.06,50.99,840669.0,50.744,5524
2025-04-22,51.62,52.61,51.6,52.28,686916.0,52.231,4692
2025-04-23,54.43,55.49,53.29,53.31,1034100.0,54.071,7106
2025-04-24,54.15,55.65,53.32,55.06,1273758.0,54.756,8916
2025-04-25,54.97,56.17,54.51,55.93,730220.0,55.707,5191
2025-04-28,56.0,57.08,55.83,56.28,848702.0,56.272,5762
2025-04-29,55.9,57.95,55.75,57.65,1111830.0,57.33,7436
2025-04-30,56.11,57.23,55.9,57.06,1485992.0,56.556,9540
2025-05-01,55.2,58.54,55.01,56.96,2131791.0,57.417,14896
2025-05-02,58.77,59.62,58.09,58.97,1402208.0,58.999,9477
2025-05-05,58.25,59.49,58.25,58.78,819304.0,59.095,5369
2025-05-06,58.27,59.4,58.18,58.19,1037576.0,58.655,7429
2025-05-07,58.65,59.44,58.23,58.92,1315365.0,58.886,9040
2025-05-08,59.89,61.74,59.58,61.11,980481.0,61.132,6746
2025-05-09,61.72,62.52,61.51,61.97,870837.0,62.185,5850
2025-05-12,65.0,67.04,64.99,66.93,2440046.0,66.474,14988
2025-05-13,66.98,68.98,66.69,68.79,1652173.0,68.288,10301
2025-05-14,68.44,69.64,68.1,69.42,1915368.0,69.093,11264
2025-05-15,68.33,69.18,67.39,68.1,1682353.0,68.005,11004
2025-05-16,68.19,68.36,67.6,68.26,866581.0,68.037,5049
2025-05-19,66.7,67.76,66.7,67.34,823452.0,67.346,4478
2025-05-20,66.85,68.05,66.81,67.49,664959.0,67.407,4636
2025-05-21,66.87,68.1,66.76,66.96,1147930.0,67.4,6391
2025-05-22,66.91,67.48,66.45,66.97,914592.0,67.058,5982
2025-05-23,64.75,66.44,64.12,66.06,758654.0,65.933,4554
2025-05-27,67.27,68.43,66.71,68.4,705237.0,68.0,4616
2025-05-28,68.5,68.74,67.54,67.71,811534.0,68.088,5018
2025-05-29,68.44,68.49,67.67,68.09,681411.0,68.048,4569
2025-05-30,67.23,67.66,66.45,66.81,1235932.0,67.188,7744
2025-06-02,66.2,66.67,64.62,65.3,997075.0,65.136,6621
2025-06-03,65.21,67.08,64.76,66.89,1015690.0,66.528,5919
2025-06-04,66.19,66.46,64.77,65.88,1430695.0,65.904,8756
2025-06-05,65.88,66.33,65.13,65.48,1003689.0,65.641,6639
2025-06-06,66.36,66.87,66.03,66.64,614750.0,66.496,3973
2025-06-09,66.64,67.65,66.41,67.19,557634.0,67.295,3733
2025-06-10,67.82,70.53,67.3,70.37,1241613.0,69.932,7007
2025-06-11,70.8,71.23,69.95,70.19,1220740.0,70.476,8427
2025-06-12,69.0,70.11,68.56,69.68,884366.0,69.652,5853
2025-06-13,68.84,69.31,66.55,67.25,1109688.0,67.499,7186
2025-06-16,68.64,69.56,67.89,69.18,750054.0,69.082,4538
2025-06-17,68.76,69.31,67.38,67.6,899538.0,67.911,6439
2025-06-18,67.59,68.36,67.45,67.66,1013638.0,67.866,7301
2025-06-20,68.24,68.44,66.34,67.05,1313232.0,67.113,6739
2025-06-23,65.97,66.71,65.03,66.51,846614.0,66.244,5676
2025-06-24,67.4,68.48,67.04,68.45,1050413.0,68.087,6237
2025-06-25,68.36,68.55,66.98,67.41,1091786.0,67.535,7055
2025-06-26,67.41,69.04,67.35,67.94,996469.0,68.322,5335
2025-06-27,68.1,69.49,67.89,68.78,820672.0,68.668,4383
2025-06-30,68.68,68.77,67.83,68.22,739008.0,68.181,5007
2025-07-01,68.02,71.68,67.45,71.67,1301546.0,70.737,6657
2025-07-02,71.95,72.83,71.42,72.19,1347827.0,72.064,9353
2025-07-03,72.97,73.0,71.86,72.56,495208.0,72.49,2565
2025-07-07,71.02,72.54,70.72,72.03,1247077.0,71.87,8401
2025-07-08,72.63,72.71,71.34,71.46,1694780.0,71.841,9264
2025-07-09,71.8,71.89,70.72,70.92,1232952.0,71.083,8577
2025-07-10,71.29,71.53,69.89,70.58,1702391.0,70.577,10482
